Category	Frequency	Decade
autistic	0.00014201758905817396	1810
autistic	0.0002892037342614286	1820
autistic	0.0004439306918216941	1830
autistic	0.0006111313446663519	1840
autistic	0.0007753903813125477	1850
autistic	0.0009493222592426594	1860
autistic	0.001122560696154792	1870
autistic	0.0012881969252373344	1880
autistic	0.0014552582243776689	1890
autistic	0.001633414351470488	1900
autistic	0.0018258159932931159	1910
autistic	0.002032053510602559	1920
autistic	0.002215800798341048	1930
autistic	0.0024141051473521497	1940
autistic	0.0026480846535460495	1950
autistic	0.002893002505290429	1960
autistic	0.0031622565837880795	1970
autistic	0.003465423345096621	1980
autistic	0.0037813808726674153	1990
autistic	0.004135436155063428	2000
bipolar	9.887300504050085e-05	1810
bipolar	0.0002133850474704189	1820
bipolar	0.00034059132396916406	1830
bipolar	0.00047936190147876103	1840
bipolar	0.000629209699737192	1850
bipolar	0.0007729774322912996	1860
bipolar	0.0009396124816512628	1870
bipolar	0.0010853596342349403	1880
bipolar	0.001243278209953415	1890
bipolar	0.001400246101527285	1900
bipolar	0.0015643533842583498	1910
bipolar	0.0017336146325694596	1920
bipolar	0.0019350384635113034	1930
bipolar	0.0021114488044463066	1940
bipolar	0.0022876005522943703	1950
bipolar	0.002474432262902879	1960
bipolar	0.002669114678133327	1970
bipolar	0.002848508421110338	1980
bipolar	0.0030388563038869	1990
bipolar	0.0032595402063858967	2000
blind	0.0005770588112363776	1810
blind	0.001205042851922048	1820
blind	0.0018429384146273434	1830
blind	0.002526453092962579	1840
blind	0.0031010931456262854	1850
blind	0.0035867421834963153	1860
blind	0.004030418051050449	1870
blind	0.004459279577903295	1880
blind	0.004861952925972548	1890
blind	0.005259183745082398	1900
blind	0.005679001298103464	1910
blind	0.006089209067852999	1920
blind	0.006457656206588946	1930
blind	0.006832403721134865	1940
blind	0.007210697708107794	1950
blind	0.0075651510141319335	1960
blind	0.007943518997989193	1970
blind	0.008322086498482794	1980
blind	0.008761677077247053	1990
blind	0.009184415662548748	2000
cleft	0.00011595106954749647	1810
cleft	0.00030146057828396366	1820
cleft	0.0005054826105109887	1830
cleft	0.0007161567585066949	1840
cleft	0.0008917412190428272	1850
cleft	0.0010839982875875888	1860
cleft	0.0012613710193149924	1870
cleft	0.0014293409000400682	1880
cleft	0.0016077879723944272	1890
cleft	0.0018051884601879438	1900
cleft	0.0020176319397004283	1910
cleft	0.0022395940359424783	1920
cleft	0.0025073076100425263	1930
cleft	0.0027855508011345774	1940
cleft	0.0030501743548480773	1950
cleft	0.0033180376219617267	1960
cleft	0.0035980636626743914	1970
cleft	0.003866414639844092	1980
cleft	0.0042010826408201835	1990
cleft	0.00456751493288252	2000
deaf	0.00012493952455117834	1810
deaf	0.0002854090666763035	1820
deaf	0.00046206416466338095	1830
deaf	0.0006114380336732336	1840
deaf	0.0007642100854610204	1850
deaf	0.0009118191809962059	1860
deaf	0.001046930232389725	1870
deaf	0.0011725761583252173	1880
deaf	0.001303394495034275	1890
deaf	0.0014334275711577367	1900
deaf	0.0015517333601093343	1910
deaf	0.0016826391736951302	1920
deaf	0.0018182495431082548	1930
deaf	0.0019403132882841463	1940
deaf	0.0020823498044687974	1950
deaf	0.0022138190303200534	1960
deaf	0.002342317969978917	1970
deaf	0.0024661649520400287	1980
deaf	0.0026163476852398854	1990
deaf	0.0027459968614946054	2000
scarred	0.0004404342951804129	1810
scarred	0.0006189203986478453	1820
scarred	0.0007791245867266395	1830
scarred	0.0009633567765435833	1840
scarred	0.0011245299986919505	1850
scarred	0.0013239030347262498	1860
scarred	0.0015058694273595106	1870
scarred	0.0016878942554771172	1880
scarred	0.001882449311134266	1890
scarred	0.0020508374672653677	1900
scarred	0.002235021955635154	1910
scarred	0.002407365430381559	1920
scarred	0.0025864581476500895	1930
scarred	0.002785506520923649	1940
scarred	0.002971800634941916	1950
scarred	0.0031506503648163465	1960
