Label	Valence	Min_val	Max_val
autistic	-0.294844442718149	-0.8056165817614992	0.11046080167783195
bipolar	-0.28780814343625294	-0.7054327161429289	0.1114665592518675
blind	-0.22509768349560916	-0.6995788309629333	0.3187061907970447
cleft	-0.18756789702652157	-0.5632343262810553	0.22188531897798072
deaf	-0.18547460526188692	-0.652065007132442	0.34807826558332305
scarred	-0.30650285209579237	-0.8647914027172813	0.4087082125017394
retarded	-0.23647947293934748	-0.8162200104319942	0.34820215360892337
disabled	-0.10119582200679134	-0.5943084332641974	0.3991586151087721
schizophrenic	-0.27714446535790777	-0.7851551371145703	0.1114665592518677
short	0.2576431775247169	-0.05957752726962547	0.609526811476312
mute	-0.06755601430943689	-0.4357220349507191	0.3837958692841782
stroke	-0.25174534515349156	-0.6405191004013607	0.12270259670314622
unattractive	-0.24464800285653526	-0.6495059311072698	0.16857440252896583
wheelchair	-0.17093835238626184	-0.6059051538952783	0.4200017145176552
alcoholic	-0.23364807548624095	-0.6558129121186728	0.3048357624010022
std	-0.43792762912200356	-0.9449574151593649	0.1447403827188675
drug	-0.19332948691259486	-0.6188609993752937	0.3768904268504125
criminal	-0.5028443152311167	-1.0525345826374537	0.2252909819712699
gang	-0.3762690017550523	-0.9273869950630093	0.34649624634996484
homeless	0.029475593144555712	-0.34399428424463857	0.48427238177539195
paroled	-0.35761484308848324	-0.8719842068228132	0.43740618913334534
molestor	-0.5123744230174301	-0.9632783673247541	0.0
asian	-0.21839524634233204	-0.548780452020077	0.23204853529045064
black	-0.08601352867782053	-0.6856883243302611	0.3620797934031423
latino	-0.11389948131827524	-0.5745221101252784	0.39082706536202266
mideast	-0.1278098794258717	-0.4185466381370905	0.19448907184987302
multiracial	0.1708780439785065	-0.21636059029536775	0.5988119260239996
native	-0.051863283620522414	-0.5189970804312378	0.3647954316703317
old	0.15878461213424444	-0.24869127712645883	0.5948562089221372
indian	-0.13189826382598274	-0.3681856905307763	0.1441086074939686
asexual	0.02853242032372384	-0.11300863675461134	0.43090468999400444
atheist	-0.09604896381681798	-0.5238944679035624	0.5067388528500758
cancer	-0.34521250907999274	-0.756696401715775	0.18221927410040437
depressed	-0.26739289641683717	-0.711268438005157	0.252899459086733
diabetic	-0.35363688823766204	-0.7966129787950411	0.1481146549151218
divorced	-0.15364273678588128	-0.7408186768722176	0.43876246497907834
immigrant	-0.15416941370562862	-0.583822739027238	0.3159262667119308
christian	0.043537104862508356	-0.346747008075269	0.536246031382687
abortion	-0.46803129980298663	-1.0378165153518706	0.0
attack	-0.3467068808801913	-0.7510366284381893	0.6527857403561623
infertile	-0.11221402166285081	-0.5094735949609095	0.49899307254303016
transgender	-0.16923431015006746	-0.5514796847154634	0.21189204858392935
jewish	-0.07639897873594395	-0.4417361326821816	0.4573449371057123
homosexual	0.32636551073317943	0.01816659039088084	0.7029580048819923
uneducated	-0.170986661274165	-0.748030337866994	0.3499895180755796
psoriasis	-0.5233772288289242	-1.0309452052408967	0.24105822053719006
unemployed	-0.21523932017344446	-0.6054345690755568	0.3107611905946751
molested	-0.4553262259783185	-1.0717284884148275	0.16386416787769623
poor	-0.1357337735800011	-0.6086215230953147	0.5751735125686582
laborer	-0.11144850635496481	-0.5555709090304186	0.502948279499979
server	0.08423204598059177	-0.33831434436198177	0.40551395583426664
fat	-0.15174670743780289	-0.594678624834488	0.48780557350374754
incontinent	-0.2291609251098929	-0.6693928890281051	0.1802269083666746
prostitute	-0.02541303680623149	-0.5257958677137684	0.482020926349964
pierced	-0.11121569457030929	-0.5873388481509509	0.4143432396598376
muslim	-0.131988792393438	-0.463899941004653	0.22085044785536018
polygamous	-0.10801760503567344	-0.4015818321008733	0.2864703306227981
smoker	-0.1541824256425361	-0.47278228724156507	0.23297726072026564
alien	-0.19322332407267426	-0.597228579623489	0.2281697036516464
hiv	-0.4273328981777561	-1.1297721356526438	0.020061855907067293
herpes	-0.3921644776930232	-0.9622391030485329	0.09735791012113576
dealer	0.06357867121876033	-0.3769342724412788	0.4728209131449877
