table	categories	attribute(s)	effect_size	missing
vectors1810	good vs. bad	autistic	0.0	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1820	good vs. bad	autistic	0.09995416041001522	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1830	good vs. bad	autistic	-0.5502180962476945	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1840	good vs. bad	autistic	-0.5540522581805637	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1850	good vs. bad	autistic	-0.8056165817614992	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1860	good vs. bad	autistic	-0.539534312929088	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1870	good vs. bad	autistic	-0.5548981270266323	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1880	good vs. bad	autistic	-0.5759411434654088	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1890	good vs. bad	autistic	-0.6018392621724697	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1900	good vs. bad	autistic	-0.4239957714657675	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1910	good vs. bad	autistic	-0.4101678521091908	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1920	good vs. bad	autistic	-0.40390491421907426	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1930	good vs. bad	autistic	-0.24597398046043903	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1940	good vs. bad	autistic	-0.1691474560749207	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1950	good vs. bad	autistic	-0.11154966085746659	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1960	good vs. bad	autistic	-0.013027345551458853	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1970	good vs. bad	autistic	0.01042391786228255	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1980	good vs. bad	autistic	-0.12579725576863549	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1990	good vs. bad	autistic	-0.032063716022802044	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors2000	good vs. bad	autistic	0.11046080167783195	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1810	good vs. bad	bipolar	0.0	['synapse', 'yucky', 'unthankful']
vectors1820	good vs. bad	bipolar	0.1114665592518675	['synapse', 'yucky', 'unthankful']
vectors1830	good vs. bad	bipolar	-0.40408275183704445	['synapse', 'yucky', 'unthankful']
vectors1840	good vs. bad	bipolar	-0.4674439532586415	['synapse', 'yucky', 'unthankful']
vectors1850	good vs. bad	bipolar	-0.7054327161429289	['synapse', 'yucky', 'unthankful']
vectors1860	good vs. bad	bipolar	-0.4170457090826136	['synapse', 'yucky', 'unthankful']
vectors1870	good vs. bad	bipolar	-0.5467567492984775	['synapse', 'yucky', 'unthankful']
vectors1880	good vs. bad	bipolar	-0.5600231549749661	['synapse', 'yucky', 'unthankful']
vectors1890	good vs. bad	bipolar	-0.46599395259799026	['synapse', 'yucky', 'unthankful']
vectors1900	good vs. bad	bipolar	-0.3924560227598433	['synapse', 'yucky', 'unthankful']
vectors1910	good vs. bad	bipolar	-0.39305429598230734	['synapse', 'yucky', 'unthankful']
vectors1920	good vs. bad	bipolar	-0.3139978425920447	['synapse', 'yucky', 'unthankful']
vectors1930	good vs. bad	bipolar	-0.25910342627815797	['synapse', 'yucky', 'unthankful']
vectors1940	good vs. bad	bipolar	-0.15479656697687397	['synapse', 'yucky', 'unthankful']
vectors1950	good vs. bad	bipolar	-0.08823159448093214	['synapse', 'yucky', 'unthankful']
vectors1960	good vs. bad	bipolar	-0.0494117881136857	['synapse', 'yucky', 'unthankful']
