table	categories	attribute(s)	effect_size	loocv_effect_sizes	missing
vectors1810	good vs. bad	autistic	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1820	good vs. bad	autistic	0.09995416041001522	[0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.11471193171789737, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.1075301898834868, 0.09995416041001509, 0.09995416041001509, 0.07612731738790686, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509, 0.09995416041001509]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1830	good vs. bad	autistic	-0.5502180962476945	[-0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5087790062286089, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.6373846245235544, -0.5502180962476946, -0.4527390768359362, -0.5275038101736138, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946, -0.5502180962476946]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1840	good vs. bad	autistic	-0.5540522581805637	[-0.5540522581805637, -0.5540522581805637, -0.5540522581805637, -0.6583051554683466, -0.5540522581805637, -0.4642980874699454, -0.5540522581805637, -0.5540522581805637, -0.5540522581805637, -0.5540522581805637, -0.5540522581805637, -0.5324327186242442, -0.5540522581805637, -0.5742563767953798, -0.5354184763606485, -0.5540522581805637, -0.5540522581805637, -0.5540522581805637, -0.5540522581805637, -0.5540522581805637, -0.5540522581805637]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1850	good vs. bad	autistic	-0.8056165817614992	[-0.805616581761499, -0.805616581761499, -0.805616581761499, -0.8762176468588331, -0.805616581761499, -0.7121369610300351, -0.805616581761499, -0.805616581761499, -0.805616581761499, -0.805616581761499, -0.805616581761499, -0.843108472199904, -0.805616581761499, -0.8298388840911676, -0.7470764977112864, -0.805616581761499, -0.805616581761499, -0.805616581761499, -0.805616581761499, -0.805616581761499, -0.805616581761499]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1860	good vs. bad	autistic	-0.539534312929088	[-0.5395343129290885, -0.5395343129290885, -0.5395343129290885, -0.6096926795060147, -0.5395343129290885, -0.45370370756584877, -0.5395343129290885, -0.5395343129290885, -0.5395343129290885, -0.5395343129290885, -0.5395343129290885, -0.5246655572362212, -0.5395343129290885, -0.5395343129290885, -0.5087907921807691, -0.5913615556440496, -0.5395343129290885, -0.5395343129290885, -0.5395343129290885, -0.5395343129290885, -0.5395343129290885]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1870	good vs. bad	autistic	-0.5548981270266323	[-0.5548981270266324, -0.5548981270266324, -0.5548981270266324, -0.6311105529465528, -0.5548981270266324, -0.48876195628968133, -0.5548981270266324, -0.5548981270266324, -0.5548981270266324, -0.5548981270266324, -0.5548981270266324, -0.5530515661814754, -0.5548981270266324, -0.5463819295636166, -0.5101986827811561, -0.5985032680544015, -0.5548981270266324, -0.5548981270266324, -0.5548981270266324, -0.5548981270266324, -0.5548981270266324]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1880	good vs. bad	autistic	-0.5759411434654088	[-0.5759411434654089, -0.5759411434654089, -0.5759411434654089, -0.6113535910011738, -0.5759411434654089, -0.5421185981060823, -0.5759411434654089, -0.5759411434654089, -0.5759411434654089, -0.5759411434654089, -0.5759411434654089, -0.5710395077120193, -0.5759411434654089, -0.5759411434654089, -0.5469720314111598, -0.5933081199905982, -0.5759411434654089, -0.5759411434654089, -0.5759411434654089, -0.5759411434654089, -0.5759411434654089]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1890	good vs. bad	autistic	-0.6018392621724697	[-0.6018392621724697, -0.6018392621724697, -0.6018392621724697, -0.6867675492482285, -0.6018392621724697, -0.530688059587667, -0.6018392621724697, -0.6018392621724697, -0.6018392621724697, -0.6018392621724697, -0.6018392621724697, -0.5916094164998599, -0.6018392621724697, -0.6018392621724697, -0.5740707509213564, -0.6207756301381374, -0.6018392621724697, -0.6018392621724697, -0.6018392621724697, -0.6018392621724697, -0.6018392621724697]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1900	good vs. bad	autistic	-0.4239957714657675	[-0.42399577146576733, -0.42399577146576733, -0.42399577146576733, -0.46084766216100076, -0.42399577146576733, -0.3873961454166341, -0.42399577146576733, -0.42399577146576733, -0.42399577146576733, -0.42399577146576733, -0.42399577146576733, -0.45539574986751635, -0.42399577146576733, -0.42399577146576733, -0.3994015291265873, -0.41350599791121834, -0.42399577146576733, -0.42399577146576733, -0.42399577146576733, -0.42399577146576733, -0.42399577146576733]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1910	good vs. bad	autistic	-0.4101678521091908	[-0.4101678521091911, -0.4101678521091911, -0.4101678521091911, -0.4536002079661079, -0.4101678521091911, -0.3548297781293644, -0.4101678521091911, -0.4101678521091911, -0.4101678521091911, -0.4101678521091911, -0.4101678521091911, -0.3747657389346173, -0.4101678521091911, -0.4101678521091911, -0.42112537805494477, -0.4419459064023823, -0.4101678521091911, -0.4101678521091911, -0.4101678521091911, -0.4101678521091911, -0.4101678521091911]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1920	good vs. bad	autistic	-0.40390491421907426	[-0.4039049142190741, -0.4039049142190741, -0.4039049142190741, -0.40059712740415676, -0.4039049142190741, -0.3604125385361058, -0.4039049142190741, -0.4039049142190741, -0.423188703278198, -0.4039049142190741, -0.4039049142190741, -0.4020750067236966, -0.4244964821615478, -0.4039049142190741, -0.36601682826372617, -0.44962598604432535, -0.4039049142190741, -0.4039049142190741, -0.4039049142190741, -0.4039049142190741, -0.4039049142190741]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1930	good vs. bad	autistic	-0.24597398046043903	[-0.2459739804604395, -0.2459739804604395, -0.2459739804604395, -0.2678129045012165, -0.2459739804604395, -0.21741754219810025, -0.2459739804604395, -0.2459739804604395, -0.21765802536082102, -0.2459739804604395, -0.2459739804604395, -0.2540580004022397, -0.2738099073711897, -0.2393053715541708, -0.23083798246182718, -0.2648178270447213, -0.2459739804604395, -0.2459739804604395, -0.2459739804604395, -0.2459739804604395, -0.2459739804604395]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1940	good vs. bad	autistic	-0.1691474560749207	[-0.16914745607492107, -0.16914745607492107, -0.1914084970162654, -0.16479245558689903, -0.16914745607492107, -0.11708749269224791, -0.16914745607492107, -0.16914745607492107, -0.17465842429385264, -0.16914745607492107, -0.16914745607492107, -0.17188178057627326, -0.19183197561392312, -0.16914745607492107, -0.15176398497538943, -0.19496726888492016, -0.16914745607492107, -0.16914745607492107, -0.16914745607492107, -0.16914745607492107, -0.16914745607492107]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
vectors1950	good vs. bad	autistic	-0.11154966085746659	[-0.11154966085746652, -0.11154966085746652, -0.1252833359375497, -0.10295143173968956, -0.11154966085746652, -0.07099879842042374, -0.11154966085746652, -0.11154966085746652, -0.12809203556841173, -0.11767468094304204, -0.11154966085746652, -0.11985684283219245, -0.12359020235029436, -0.11154966085746652, -0.0989856251303312, -0.12160379090566953, -0.11154966085746652, -0.11154966085746652, -0.11154966085746652, -0.11154966085746652, -0.11154966085746652]	['autistic', 'autistic', 'hyperactive', 'hyperactivity', 'yucky', 'unthankful']
