Category	Frequency	Word	Decade
instruments	2.740128953037401e-07	bagpipe	1800
instruments	2.7628598846719293e-07	bagpipe	1810
instruments	3.038404769653342e-07	bagpipe	1820
instruments	1.9542760704878465e-07	bagpipe	1830
instruments	1.564749128116004e-07	bagpipe	1840
instruments	1.446498807316353e-07	bagpipe	1850
instruments	1.274468731103961e-07	bagpipe	1860
instruments	1.1466208357517196e-07	bagpipe	1870
instruments	1.4927552772230324e-07	bagpipe	1880
instruments	1.4408946093475124e-07	bagpipe	1890
instruments	1.1061315780955007e-07	bagpipe	1900
instruments	6.591748596990734e-08	bagpipe	1910
instruments	6.444076991120742e-08	bagpipe	1920
instruments	6.41977954527327e-08	bagpipe	1930
instruments	4.1459501697778197e-08	bagpipe	1940
instruments	4.6268963513024107e-08	bagpipe	1950
instruments	4.773500844593844e-08	bagpipe	1960
instruments	3.803763308871797e-08	bagpipe	1970
instruments	2.874801764931978e-08	bagpipe	1980
instruments	2.1002403322945067e-08	bagpipe	1990
instruments	0.0	cello	1800
instruments	0.0	cello	1810
instruments	0.0	cello	1820
instruments	0.0	cello	1830
instruments	0.0	cello	1840
instruments	0.0	cello	1850
instruments	6.216920639531518e-09	cello	1860
instruments	1.6380297653595994e-08	cello	1870
instruments	4.779951281396587e-08	cello	1880
instruments	1.1769764840859089e-07	cello	1890
instruments	2.1455244911438986e-07	cello	1900
instruments	2.609472651113071e-07	cello	1910
instruments	4.064249996797974e-07	cello	1920
instruments	5.737573207172429e-07	cello	1930
instruments	8.877110589857611e-07	cello	1940
instruments	6.686318844921327e-07	cello	1950
instruments	6.678428022336046e-07	cello	1960
instruments	6.90651090994749e-07	cello	1970
instruments	7.600615492469731e-07	cello	1980
instruments	5.996993933444006e-07	cello	1990
instruments	3.8818493501363176e-07	guitar	1800
instruments	4.02456589867211e-07	guitar	1810
instruments	8.066511170180421e-07	guitar	1820
instruments	8.847784127345662e-07	guitar	1830
instruments	8.416398890028113e-07	guitar	1840
instruments	8.766659438280927e-07	guitar	1850
instruments	8.939931879646322e-07	guitar	1860
instruments	6.866724778277305e-07	guitar	1870
instruments	1.0329788158526312e-06	guitar	1880
instruments	1.1243567833349929e-06	guitar	1890
instruments	1.0120794964272688e-06	guitar	1900
instruments	8.759860689870512e-07	guitar	1910
instruments	8.921260544302168e-07	guitar	1920
instruments	8.047352897351689e-07	guitar	1930
instruments	9.31559173950078e-07	guitar	1940
instruments	8.344290037471358e-07	guitar	1950
instruments	9.205124453329897e-07	guitar	1960
instruments	1.2528422023234383e-06	guitar	1970
instruments	1.2975102438761366e-06	guitar	1980
instruments	1.7454881992434793e-06	guitar	1990
instruments	9.019591137081444e-07	lute	1800
instruments	8.72142770261439e-07	lute	1810
instruments	1.3525436157449391e-06	lute	1820
instruments	9.289504061086066e-07	lute	1830
instruments	8.810296476551541e-07	lute	1840
instruments	1.0411697297581877e-06	lute	1850
instruments	9.776107705663312e-07	lute	1860
instruments	8.754359079310749e-07	lute	1870
instruments	1.1307327375500449e-06	lute	1880
instruments	1.1797631972097892e-06	lute	1890
instruments	1.2559228040901093e-06	lute	1900
instruments	8.285541388652265e-07	lute	1910
instruments	8.98152889026229e-07	lute	1920
instruments	8.923996422724514e-07	lute	1930
instruments	6.831433942300572e-07	lute	1940
instruments	6.484459151163526e-07	lute	1950
instruments	6.264341202082123e-07	lute	1960
instruments	4.6778630115279734e-07	lute	1970
instruments	3.6938336067929406e-07	lute	1980
instruments	5.285874097855572e-07	lute	1990
instruments	0.0	trombone	1800
instruments	0.0	trombone	1810
instruments	0.0	trombone	1820
instruments	0.0	trombone	1830
instruments	2.204380988800837e-08	trombone	1840
instruments	1.2892146232766069e-08	trombone	1850
instruments	1.3366379374992762e-08	trombone	1860
instruments	2.7040491364666405e-08	trombone	1870
instruments	2.311615783626218e-08	trombone	1880
instruments	6.196338593098518e-08	trombone	1890
instruments	4.375090264198964e-08	trombone	1900
instruments	5.817934631257039e-08	trombone	1910
instruments	9.411134023003674e-08	trombone	1920
instruments	1.3627364935527856e-07	trombone	1930
instruments	1.9040660038979617e-07	trombone	1940
instruments	1.4924008819396992e-07	trombone	1950
instruments	1.4237429560582445e-07	trombone	1960
instruments	1.7145016364015428e-07	trombone	1970
instruments	1.4251154048380746e-07	trombone	1980
instruments	1.4766305105516762e-07	trombone	1990
instruments	0.0	banjo	1800
instruments	0.0	banjo	1810
instruments	0.0	banjo	1820
instruments	0.0	banjo	1830
instruments	0.0	banjo	1840
instruments	1.8049004725872497e-08	banjo	1850
instruments	4.072083018893144e-08	banjo	1860
instruments	2.886052443728818e-08	banjo	1870
instruments	4.623231567252436e-08	banjo	1880
instruments	1.4949896288110707e-07	banjo	1890
instruments	1.2544397226446182e-07	banjo	1900
instruments	1.6651330151528766e-07	banjo	1910
instruments	1.7122391621491083e-07	banjo	1920
instruments	1.5839926032071124e-07	banjo	1930
instruments	1.72321385657432e-07	banjo	1940
instruments	1.3052837500855577e-07	banjo	1950
instruments	1.5611328732721235e-07	banjo	1960
instruments	1.718586214451338e-07	banjo	1970
instruments	1.6061214418893472e-07	banjo	1980
instruments	1.9176809803335225e-07	banjo	1990
instruments	0.0	clarinet	1800
instruments	0.0	clarinet	1810
instruments	0.0	clarinet	1820
instruments	2.6324723323923048e-08	clarinet	1830
instruments	4.1196628315294325e-08	clarinet	1840
instruments	4.563819766399189e-08	clarinet	1850
instruments	2.7354450813938678e-08	clarinet	1860
