table	categories	attribute(s)	effect_size	loocv_effect_sizes	missing
vectors1800	good vs. bad	autistic	-0.5745943094286011	[-0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.60558010715724, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.39355450993526214, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.530704840844679, -0.7322888259549022, -0.5745943094286015, -0.5745943094286015, -0.5745943094286015, -0.5458007857075605, -0.5745943094286015, -0.5745943094286015]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	autistic	-0.8750537778497193	[-0.8750537778497198, -0.8750537778497198, -0.8750537778497198, -0.8750537778497198, -0.8750537778497198, -0.8750537778497198, -0.9309360126730634, -0.8750537778497198, -0.8750537778497198, -0.8750537778497198, -0.7124637472087061, -0.8750537778497198, -0.7892070728800483, -0.8750537778497198, -0.8750537778497198, -0.8750537778497198, -0.8357055995167183, -0.9875766664994979, -0.8750537778497198, -0.8750537778497198, -0.8750537778497198, -0.8977503991171226, -0.8750537778497198, -0.8750537778497198]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	autistic	-1.0705920204718198	[-1.0705920204718202, -1.0705920204718202, -1.0705920204718202, -1.0705920204718202, -1.0705920204718202, -1.0705920204718202, -1.092400989559484, -1.0705920204718202, -1.0705920204718202, -1.0705920204718202, -1.0095234842445127, -0.9673099238231014, -0.9972236226613805, -1.0705920204718202, -1.0705920204718202, -1.0705920204718202, -1.0807158401905774, -1.1683191931432235, -1.0705920204718202, -1.0705920204718202, -1.0705920204718202, -1.0587597767151877, -1.0705920204718202, -1.0705920204718202]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	autistic	-1.1007569276570095	[-1.1007569276570093, -1.1007569276570093, -1.1007569276570093, -1.1007569276570093, -1.166694380528464, -1.1007569276570093, -1.0703112780958266, -1.1007569276570093, -1.1007569276570093, -1.1007569276570093, -1.0060067417531677, -0.9708053791551242, -1.0373319721124157, -1.1007569276570093, -1.1007569276570093, -1.1007569276570093, -1.0798717941597349, -1.2267864183325414, -1.1007569276570093, -1.1007569276570093, -1.1007569276570093, -1.1099869932693054, -1.1007569276570093, -1.1007569276570093]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	autistic	-1.1926781583019912	[-1.1926781583019908, -1.1926781583019908, -1.1926781583019908, -1.1926781583019908, -1.245126230213922, -1.1926781583019908, -1.187165969637477, -1.1926781583019908, -1.1926781583019908, -1.1896375333772389, -1.1161595610587116, -1.1287912696950075, -1.141027050751983, -1.1926781583019908, -1.1926781583019908, -1.1926781583019908, -1.1827382509499855, -1.262273339782066, -1.1644551396729454, -1.1926781583019908, -1.1926781583019908, -1.167363799541716, -1.1926781583019908, -1.1926781583019908]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	autistic	-1.1819714659366807	[-1.1819714659366813, -1.1819714659366813, -1.1819714659366813, -1.1819714659366813, -1.2003900892031625, -1.1819714659366813, -1.1701240403065414, -1.1819714659366813, -1.1819714659366813, -1.1700206249603669, -1.1134653738705118, -1.1014990825767432, -1.121435222134303, -1.1819714659366813, -1.1819714659366813, -1.1819714659366813, -1.1652820301908275, -1.252591531022509, -1.2143310099590738, -1.1819714659366813, -1.2208050513047832, -1.1687075121034702, -1.1819714659366813, -1.1819714659366813]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	autistic	-1.2145379021998024	[-1.2145379021998024, -1.2145379021998024, -1.2145379021998024, -1.2145379021998024, -1.275633780345006, -1.2145379021998024, -1.1873558211177762, -1.2145379021998024, -1.2145379021998024, -1.2157189637158372, -1.157784219496193, -1.1324941152692876, -1.1284962114446113, -1.2145379021998024, -1.2145379021998024, -1.2145379021998024, -1.1778305444447872, -1.27732407418041, -1.1943229111419298, -1.2145379021998024, -1.272017837295018, -1.222949857850394, -1.2145379021998024, -1.2145379021998024]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	autistic	-1.1691490145387387	[-1.169149014538739, -1.169149014538739, -1.169149014538739, -1.169149014538739, -1.1992121176855262, -1.169149014538739, -1.1352547181260577, -1.169149014538739, -1.169149014538739, -1.1536837952377283, -1.1360485576141153, -1.063051322821468, -1.1176982236899269, -1.169149014538739, -1.169149014538739, -1.169149014538739, -1.135771886733466, -1.2324312498704408, -1.1877493105166563, -1.169149014538739, -1.211174144672064, -1.1836142515970232, -1.169149014538739, -1.169149014538739]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	autistic	-1.1875449772504822	[-1.1875449772504822, -1.1875449772504822, -1.1875449772504822, -1.1875449772504822, -1.2256379512920819, -1.1875449772504822, -1.1744927749529113, -1.1875449772504822, -1.1875449772504822, -1.1816783116858416, -1.1456146100035998, -1.1625692681747202, -1.0921703008421948, -1.1875449772504822, -1.1875449772504822, -1.1875449772504822, -1.1642884329363252, -1.2380909945863092, -1.1541517800834165, -1.1875449772504822, -1.1985971813633334, -1.2065286543521911, -1.1875449772504822, -1.1875449772504822]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	autistic	-1.2326302721576263	[-1.2326302721576265, -1.2326302721576265, -1.2326302721576265, -1.2326302721576265, -1.269603557880077, -1.2326302721576265, -1.2222297899175154, -1.2562084788759469, -1.2326302721576265, -1.2001645639376168, -1.193362934647046, -1.1655310542036792, -1.1749851765695032, -1.1879161636297406, -1.2326302721576265, -1.2326302721576265, -1.2255543995333882, -1.2977130183223864, -1.2382026039225493, -1.2326302721576265, -1.2618167656895931, -1.2411511582668668, -1.2326302721576265, -1.2326302721576265]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	autistic	-0.8980872184223101	[-0.9401551101417552, -0.89808721842231, -0.89808721842231, -0.9369033743121672, -0.9240568423116154, -0.89808721842231, -0.8758578669321189, -0.9462680890857194, -0.89808721842231, -0.9213173207606827, -0.8089131929499247, -0.8836711931194537, -0.8142691264916532, -0.8746037392337496, -0.89808721842231, -0.89808721842231, -0.8411625928702565, -0.9461526884171098, -0.8739818898340806, -0.89808721842231, -0.9182705279583775, -0.8937546631170625, -0.89808721842231, -0.89808721842231]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	autistic	-1.0982596181413526	[-1.1242910231077934, -1.098259618141352, -1.098259618141352, -1.106717974592518, -1.119683917815455, -1.098259618141352, -1.0779848943443584, -1.1140695067710864, -1.098259618141352, -1.0912612220737756, -1.0569134819699646, -1.0425178515370104, -1.0403074612173917, -1.104406959722086, -1.098259618141352, -1.098259618141352, -1.0841293531121758, -1.1520851246939396, -1.0899826125002086, -1.098259618141352, -1.1330215274110222, -1.1026226476772227, -1.098259618141352, -1.0668123362279478]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	autistic	-1.1351747219452513	[-1.1019712831091726, -1.135174721945251, -1.135174721945251, -1.1786450239722388, -1.1612633760182522, -1.135174721945251, -1.1283991816315286, -1.1790176217592918, -1.135174721945251, -1.132105630351054, -1.0883686101632348, -1.135174721945251, -1.1034273907780914, -1.095255185009091, -1.135174721945251, -1.135174721945251, -1.129021612318967, -1.1873259657457038, -1.1188882908191424, -1.135174721945251, -1.1433007286318722, -1.1430771989600248, -1.135174721945251, -1.0667634963945716]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	autistic	-1.0246942774618308	[-1.0233367205496615, -1.024694277461831, -1.024694277461831, -1.0440328990056102, -1.0500824506992512, -1.024694277461831, -1.0089689855744355, -1.0512562207571035, -1.024694277461831, -1.0305712643841474, -0.9905140829138382, -1.024694277461831, -0.9677903589230122, -0.9986716184769867, -1.024694277461831, -1.024694277461831, -1.0178216819435384, -1.0445369229935655, -1.0205657808779462, -1.0323337101945538, -1.0175634657257389, -1.0296321425274388, -1.024694277461831, -1.0115098878984765]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	autistic	-1.1044346096840223	[-1.106846848238797, -1.1044346096840219, -1.1044346096840219, -1.126203510811221, -1.124691472030074, -1.1374214713529676, -1.077936386258246, -1.120240205682041, -1.06337035008244, -1.0935295124978779, -1.0559751672073465, -1.1044346096840219, -1.0452891971329512, -1.11013851757291, -1.1044346096840219, -1.1044346096840219, -1.0918203483147755, -1.132191837506909, -1.1033752910572447, -1.1064316232467277, -1.1085426434879961, -1.1262094435211507, -1.1011266342343917, -1.0992566092094946]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	autistic	-1.0816405844734416	[-1.0802826640230656, -1.0816405844734418, -1.0816405844734418, -1.0908064617248852, -1.1110489808050508, -1.0975417899734476, -1.0575712422553214, -1.0881755122855445, -1.065095378611702, -1.0635397801825044, -1.029482874248005, -1.0816405844734418, -1.0327005441935126, -1.0841029925153522, -1.0816405844734418, -1.0816405844734418, -1.0633469127198358, -1.0944725585422248, -1.0795989341232448, -1.098510947961943, -1.0970055431059935, -1.1224631526385416, -1.0770103407947205, -1.0751561728018353]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	autistic	-1.2375801553930676	[-1.2263798409378444, -1.2348558447863929, -1.2404939138636795, -1.240666009517387, -1.2591869546498644, -1.2651186431069623, -1.2316546120021954, -1.2479862267423667, -1.2262316030327758, -1.2376076009986081, -1.2204634919603696, -1.2066485430640745, -1.2225572200763373, -1.2207867129158099, -1.2375801553930674, -1.2314487156508303, -1.2237322427492618, -1.241436688500349, -1.2212045370691427, -1.2532811893719733, -1.2525153646462557, -1.2490612360249709, -1.236286627039365, -1.2386930223519752]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	autistic	-0.9988109572890133	[-0.9925173401566959, -0.9939496382807106, -1.0115234587826607, -1.0135037757370695, -1.00220854213043, -1.0239516401225253, -0.9973009975720433, -1.012332519911616, -0.9787398304705001, -0.9749945000816929, -0.985737708354327, -0.9711241101757826, -0.9669521302655191, -1.0203648251626802, -0.9894272842905107, -0.9918788658458348, -1.011349234328095, -1.00453790630213, -0.9983043548661961, -0.9964824622064392, -1.0019859088811998, -1.0195463308086758, -0.9971410624947621, -0.9928276906272123]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	autistic	-1.0036234131708228	[-1.0034178271434595, -1.0066169559011373, -1.0103786736026266, -1.0213486102626994, -1.0100359436651118, -1.0160442066772604, -0.9985655972413413, -1.02016374258101, -0.9808271357822388, -0.9987149320378799, -0.9783662744464728, -0.993550628034158, -0.9845791182813296, -1.0217841387792472, -1.003373116357981, -0.9920704558612788, -1.0011198641603962, -1.0003610377914338, -0.9897503782083972, -1.0164860845551444, -1.0058426873579176, -1.0122088182767113, -0.9955824227802206, -1.002022818209935]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	autistic	-1.0632207524822852	[-1.0414390088889964, -1.0749692297039675, -1.083137719130734, -1.0863762180715215, -1.0661033711110954, -1.0678441061794477, -1.052022586663373, -1.083968048217378, -1.0597183542980537, -1.0463799316684106, -1.0524254404833688, -1.0686959774774618, -1.0364454747707559, -1.0715697448366315, -1.0748214921761459, -1.0516758434999722, -1.0666279496603959, -1.0589163060811912, -1.0507570084488174, -1.0669964301945356, -1.061928275736797, -1.0724859784442833, -1.0630493755007835, -1.037037948434913]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	bipolar	-0.6122250926544548	[-0.6122250926544547, -0.5337530135745879, -0.6019316197464012, -0.6122250926544547, -0.6122250926544547, -0.4999086656491891, -0.6122250926544547, -0.6122250926544547, -0.7301294253579937, -0.6122250926544547, -0.6122250926544547, -0.6122250926544547, -0.6122250926544547, -0.4426379058723625, -0.7609973382930427]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	bipolar	-0.6231352410524658	[-0.6231352410524652, -0.5911967021450844, -0.5565050184799626, -0.6231352410524652, -0.6231352410524652, -0.5967304655579777, -0.6231352410524652, -0.6231352410524652, -0.7614092898330284, -0.6231352410524652, -0.6231352410524652, -0.6231352410524652, -0.6231352410524652, -0.42942395487876767, -0.6842642991527486]	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	bipolar	-0.7206017423112151	[-0.7206017423112151, -0.714845316955908, -0.7042224894790167, -0.7206017423112151, -0.7206017423112151, -0.6495638886785788, -0.7206017423112151, -0.7206017423112151, -0.8135097109200545, -0.7206017423112151, -0.7206017423112151, -0.7206017423112151, -0.7206017423112151, -0.5313965054630849, -0.7965883589289288]	['euphoric', 'bothersome', 'yucky', 'horrendous']
