table	categories	attribute(s)	effect_size	missing
vectors1800	good vs. bad	autistic	-0.5745943094286011	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	autistic	-0.8750537778497193	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	autistic	-1.0705920204718198	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	autistic	-1.1007569276570095	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	autistic	-1.1926781583019912	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	autistic	-1.1819714659366807	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	autistic	-1.2145379021998024	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	autistic	-1.1691490145387387	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	autistic	-1.1875449772504822	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	autistic	-1.2326302721576263	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	autistic	-0.8980872184223101	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	autistic	-1.0982596181413526	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	autistic	-1.1351747219452513	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	autistic	-1.0246942774618308	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	autistic	-1.1044346096840223	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	autistic	-1.0816405844734416	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	autistic	-1.2375801553930676	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	autistic	-0.9988109572890133	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	autistic	-1.0036234131708228	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	autistic	-1.0632207524822852	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	bipolar	-0.6122250926544548	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	bipolar	-0.6231352410524658	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	bipolar	-0.7206017423112151	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	bipolar	-0.7125959868023214	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	bipolar	-0.8811336672138652	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	bipolar	-0.8399151712613175	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	bipolar	-0.9580463511266998	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	bipolar	-0.9408086519258426	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	bipolar	-0.924702904654515	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	bipolar	-1.038441890500326	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	bipolar	-0.97394062391141	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	bipolar	-0.9721682202010632	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	bipolar	-1.1013509826347054	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	bipolar	-0.9853259566180124	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	bipolar	-1.064070792946553	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	bipolar	-1.1025254034801149	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	bipolar	-1.206589183591171	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	bipolar	-1.1978258875055083	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	bipolar	-1.1547056375370552	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	bipolar	-1.0782347261234806	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	blind	-0.698187059526849	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	blind	-0.9509829142852269	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	blind	-1.0091899477208635	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	blind	-1.2286749484088593	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	blind	-1.2081804395614264	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	blind	-1.2693574396905452	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	blind	-1.2932008520864238	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	blind	-1.3553188197125663	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	blind	-1.1505041293898304	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	blind	-1.2764081692488205	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	blind	-1.1855761543321084	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	blind	-1.0730520769786993	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	blind	-1.215778051320841	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	blind	-1.1400730296233246	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	blind	-1.0725992425911866	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	blind	-1.0103316839841034	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	blind	-1.078928859224764	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	blind	-0.8324424781761985	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	blind	-0.8826325800724243	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	blind	-0.7928132282198526	['visionless', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	cleft	-0.5076192358433347	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	cleft	-0.6739393806026908	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	cleft	-0.8127368418320444	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	cleft	-1.0362838437101871	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	cleft	-0.938915311522769	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	cleft	-1.0385313110559677	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	cleft	-1.157798534174428	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	cleft	-1.0841795428841485	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	cleft	-1.057644517704116	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	cleft	-1.1044293703836916	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	cleft	-1.0715917082814537	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	cleft	-1.0430893471960037	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	cleft	-1.0684708668496108	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	cleft	-1.149898802500208	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	cleft	-0.9309050184671533	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	cleft	-1.074016573784367	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	cleft	-0.9739195557527613	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	cleft	-0.9573003658385355	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	cleft	-0.7473543429391007	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	cleft	-1.0847937851829206	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	deaf	-0.26224529522313	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	deaf	-0.9026808128248393	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	deaf	-0.8162181844282976	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	deaf	-1.0816218603591443	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	deaf	-1.0285415997661629	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	deaf	-1.029506525098337	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	deaf	-0.9804996871944696	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	deaf	-1.04186400439815	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	deaf	-0.959496665549049	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	deaf	-1.0367700705929561	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	deaf	-0.7695067662066802	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	deaf	-0.9333876730953888	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	deaf	-0.8461095992302305	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	deaf	-0.7710127511628007	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	deaf	-0.8173245998396346	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	deaf	-1.106046274210515	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	deaf	-1.1488214003708246	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	deaf	-0.5733001691601918	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	deaf	-0.8059278378536802	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	deaf	-0.7532068050462735	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	scarred	-0.8095889797589221	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	scarred	-1.1820388438788578	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	scarred	-1.132911506269643	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	scarred	-0.9061699546903879	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	scarred	-0.996401659817537	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	scarred	-0.7214218608205406	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	scarred	-1.083249959623182	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	scarred	-1.2080398738070446	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	scarred	-1.1373119789402464	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	scarred	-0.8767349062468779	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	scarred	-1.0034400170697402	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	scarred	-0.8323473332634455	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	scarred	-0.9273525162724087	['euphoric', 'bothersome', 'yucky', 'horrendous']
