table	categories	attribute(s)	effect_size	missing
vectors1800	good vs. bad	weapons	-0.7897204968679672	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	weapons	-0.7547567502437464	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	weapons	-0.5778862934558929	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	weapons	-0.4049074291031249	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	weapons	-0.4194037309074779	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	weapons	-0.6493211614833891	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	weapons	-0.3988312392937373	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	weapons	-0.6780615461046483	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	weapons	-0.6521882230324744	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	weapons	-0.660656749486467	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	weapons	-0.47441152179168466	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	weapons	-0.4566701715952468	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	weapons	-0.6710703752970697	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	weapons	-0.42841752725528276	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	weapons	-0.4445361433295508	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	weapons	-0.5292939199951433	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	weapons	-0.29235916908206616	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	weapons	-0.41708146153809594	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	weapons	-0.5675583846066412	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	weapons	-0.7301533903978754	['teargas', 'slingshot', 'euphoric', 'bothersome', 'yucky', 'horrendous']
