Category	Average frequency	Word	Decade
autistic	1.9558389183135533e-06	compulsive	1990
bipolar	4.2654243229709376e-06	psychotic	1990
blind	1.9396485011268603e-05	unable	1990
cleft	1.2891320412409325e-05	deformity	1990
deaf	4.103937173305772e-06	disabled	1990
scarred	4.717176806769367e-06	mutilated	1990
retarded	2.103464777902792e-06	intellectually	1990
disabled	3.673359962409716e-07	disability	1990
schizophrenic	1.708656708387325e-06	splitpersonality	1990
short	0.00017518242900406788	shorter	1990
mute	2.0794873279120767e-05	muffled	1990
stroke	1.4126245511942565e-06	delusion	1990
unattractive	5.447514217807361e-06	sickly	1990
wheelchair	1.459035174486583e-06	disabled	1990
alcoholic	7.1260439963846605e-06	sober	1990
std	1.2723979989465444e-05	transmitted	1990
drug	7.558664239349651e-06	drugaddict	1990
criminal	9.837058148072655e-06	indict	1990
gang	6.7741292442568245e-06	syndicate	1990
homeless	2.3150848015460865e-05	orphans	1990
paroled	8.755253883432994e-06	discharge	1990
molestor	1.4627000120430906e-05	sexually	1990
asian	1.3669456132979004e-06	brownie	1990
black	1.7870824527003345e-05	nairobi	1990
latino	1.7012159816254224e-06	haiti	1990
mideast	4.326362097994924e-06	muscat	1990
multiracial	2.228784146584097e-06	coloured	1990
native	1.6841433220945432e-06	cheyenne	1990
old	8.022505389696038e-05	venerable	1990
indian	1.3140624339983525e-06	burmese	1990
asexual	4.4762709173750076e-07	agamous	1990
atheist	6.289265487593064e-07	nonconforming	1990
cancer	3.309610265578598e-06	cancerpatient	1990
depressed	8.112465493772378e-06	suffer	1990
diabetic	1.2946711200343134e-05	restlessness	1990
divorced	6.506710791548476e-06	dissolution	1990
immigrant	2.1753146240172556e-06	immigration	1990
christian	2.9335296176236358e-05	hope	1990
abortion	5.405854869196477e-06	unwanted	1990
attack	2.800984648828909e-05	blood	1990
infertile	8.48530377828907e-07	antinatalism	1990
transgender	3.1261777911088513e-07	hijra	1990
jewish	1.9930760783465808e-05	jews	1990
homosexual	4.765804195048325e-06	homophile	1990
uneducated	1.8198798294457233e-06	inerudite	1990
psoriasis	1.2698537522721001e-05	wart	1990
unemployed	1.6692385217311942e-05	welfare	1990
molested	9.349180691388255e-06	rape	1990
poor	2.1505406629927997e-05	beg	1990
laborer	3.101780791933374e-05	tiler	1990
server	2.08000966052209e-05	public	1990
fat	1.2223848273287043e-05	pudgy	1990
incontinent	2.325135091004784e-06	incontinence	1990
prostitute	2.132619539852972e-06	prostitutes	1990
pierced	1.1446109934231567e-05	piercings	1990
muslim	3.7260831756407146e-06	secular	1990
polygamous	7.652086941140056e-07	somalia	1990
smoker	7.038962349478768e-06	chronic	1990
alien	5.525800496105579e-07	noncitizen	1990
hiv	8.819793978819278e-07	disease	1990
herpes	2.720361415618867e-06	hiv	1990
dealer	1.287859537066003e-05	bagman	1990
