table	categories	attribute(s)	effect_size	loocv_effect_sizes	missing
vectors1800	good vs. bad	bipolar		[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1810	good vs. bad	bipolar		[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1820	good vs. bad	bipolar		[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1830	good vs. bad	bipolar		[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1840	good vs. bad	bipolar	-0.0008308473924508113	[-0.0008308473924508008, -0.0008308473924508008, -0.0008308473924508008, -0.0008308473924508008, -0.0008308473924508008, 0.22402208096440007, -0.0008308473924508008, -0.0008308473924508008, -0.0008308473924508008, -0.2411866708514799, -0.0008308473924508008, -0.0008308473924508008]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1850	good vs. bad	bipolar	-0.15408433144075445	[-0.15408433144075442, -0.15408433144075442, -0.15408433144075442, -0.15408433144075442, -0.15408433144075442, -0.10234560900904564, -0.15408433144075442, -0.15408433144075442, -0.10665970092936294, -0.2479955002150567, -0.15408433144075442, -0.15408433144075442]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1860	good vs. bad	bipolar	-0.19803172815725698	[-0.19803172815725686, -0.19803172815725686, -0.19803172815725686, -0.19803172815725686, -0.19803172815725686, -0.17152562535322854, -0.19803172815725686, -0.19803172815725686, -0.04274522143227594, -0.30280818763117595, -0.19803172815725686, -0.19803172815725686]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1870	good vs. bad	bipolar	-0.21445355309272685	[-0.2144535530927273, -0.2144535530927273, -0.2144535530927273, -0.2144535530927273, -0.2144535530927273, -0.14131240895773062, -0.2144535530927273, -0.2144535530927273, -0.1894302254557455, -0.29941041989204376, -0.2144535530927273, -0.2144535530927273]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1880	good vs. bad	bipolar	-0.2733257678684482	[-0.27332576786844787, -0.27332576786844787, -0.27332576786844787, -0.27332576786844787, -0.16319283514979036, -0.18899886557662443, -0.27332576786844787, -0.27332576786844787, -0.2863135926413672, -0.4056895898057024, -0.27332576786844787, -0.27332576786844787]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1890	good vs. bad	bipolar	-0.39242384790330126	[-0.3647605574865036, -0.35824869790812963, -0.3924238479033011, -0.3924238479033011, -0.37621153572964683, -0.32834152580237397, -0.3924238479033011, -0.3924238479033011, -0.404007262042026, -0.49515386832814307, -0.3924238479033011, -0.3924238479033011]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1900	good vs. bad	bipolar	-0.2717435067196989	[-0.2519798761673195, -0.12267305516573689, -0.2717435067196986, -0.2717435067196986, -0.23967588933714631, -0.2304299200647548, -0.2717435067196986, -0.2717435067196986, -0.31170972987065654, -0.4276108438599949, -0.2717435067196986, -0.2717435067196986]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1910	good vs. bad	bipolar	-0.22440012505965334	[-0.25692689255441054, -0.15203560294287505, -0.22440012505965343, -0.22440012505965343, -0.17342000149906744, -0.15170075843181127, -0.22440012505965343, -0.22440012505965343, -0.2599464811178387, -0.32866542258004894, -0.22440012505965343, -0.22440012505965343]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1920	good vs. bad	bipolar	-0.24656871083078238	[-0.34966320627058245, -0.08566850098711062, -0.24656871083078247, -0.24656871083078247, -0.23104913583726455, -0.12353160261773968, -0.24656871083078247, -0.24656871083078247, -0.3088647933741136, -0.34125581590076287, -0.24656871083078247, -0.24656871083078247]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1930	good vs. bad	bipolar	-0.25520926720777376	[-0.2640192891608017, -0.1736031356585779, -0.25520926720777376, -0.25520926720777376, -0.2146590044670747, -0.14051391384841527, -0.25520926720777376, -0.25520926720777376, -0.33404251183383715, -0.3840005465002991, -0.25520926720777376, -0.25520926720777376]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1940	good vs. bad	bipolar	-0.27194144819904914	[-0.2932699390808095, -0.16056207523634372, -0.2719414481990492, -0.2719414481990492, -0.2601466375741341, -0.20960643535612755, -0.2719414481990492, -0.2719414481990492, -0.24981434597098567, -0.4248613102749748, -0.2719414481990492, -0.2719414481990492]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1950	good vs. bad	bipolar	-0.43898426315820027	[-0.41519392248377646, -0.3418392611862453, -0.43898426315820027, -0.43898426315820027, -0.400728426730283, -0.3662040114598447, -0.43898426315820027, -0.43898426315820027, -0.4737937577505628, -0.579465367222445, -0.43898426315820027, -0.43898426315820027]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1960	good vs. bad	bipolar	-0.6465675271095171	[-0.5415871745735851, -0.5502683984593376, -0.6465675271095171, -0.6465675271095171, -0.6523038257679016, -0.5990374745236696, -0.6465675271095171, -0.6465675271095171, -0.6483998206321461, -0.8052227002704653, -0.6465675271095171, -0.6465675271095171]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1970	good vs. bad	bipolar	-0.5389300027266692	[-0.5078119768769047, -0.4163939164648129, -0.5389300027266692, -0.5389300027266692, -0.5017505243749437, -0.3840661158908584, -0.5389300027266692, -0.5389300027266692, -0.6166613273201152, -0.7143789790632467, -0.5389300027266692, -0.5389300027266692]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1980	good vs. bad	bipolar	-0.7576517892133287	[-0.6933522757640153, -0.6501653416298192, -0.7576517892133284, -0.7576517892133284, -0.7652209356015882, -0.6951927624183948, -0.7590494424556041, -0.7576517892133284, -0.8239117587204193, -0.831014164701061, -0.7576517892133284, -0.7576517892133284]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1990	good vs. bad	bipolar	-0.9406253697597277	[-0.8941111012474929, -0.8413379196772489, -0.9406253697597281, -0.9406253697597281, -0.9320568973772304, -0.9332314796116736, -0.985914299019253, -0.9406253697597281, -0.985686545066508, -0.9926163867005509, -0.8746178891272842, -0.9406253697597281]	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1800	good vs. bad	blind	0.30337398072503924	[0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, nan, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393, 0.3033739807250393]	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1810	good vs. bad	blind	-0.5437317831579767	[-0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, nan, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765, -0.5437317831579765]	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1820	good vs. bad	blind	-0.4905740176217501	[-0.49057401762175007, -0.49057401762175007, -0.49057401762175007, -0.1749714841913574, -0.49057401762175007, -0.49057401762175007, -0.49057401762175007, -0.5001156974992622, -0.49057401762175007, -0.49057401762175007, -0.49057401762175007, -0.49057401762175007, -0.43680393446312993, -0.49057401762175007, -0.49057401762175007]	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1830	good vs. bad	blind	0.22439412155977576	[0.042187155036817255, 0.22439412155977584, 0.22439412155977584, 0.34839454718083734, 0.22439412155977584, 0.22439412155977584, 0.22439412155977584, 0.27109439675781233, 0.22439412155977584, 0.22439412155977584, 0.22439412155977584, 0.22439412155977584, 0.12070900643274209, 0.22439412155977584, 0.22439412155977584]	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1840	good vs. bad	blind	-0.2909819905009398	[-0.33871130153731543, -0.29098199050093954, -0.29098199050093954, -0.2041620751050123, -0.29098199050093954, -0.29098199050093954, -0.29098199050093954, -0.3192604387482233, -0.29098199050093954, -0.29098199050093954, -0.29098199050093954, -0.29098199050093954, -0.21108042529319748, -0.37325196193341775, -0.29098199050093954]	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1850	good vs. bad	blind	-0.35372251005016203	[-0.4045856912449438, -0.3537225100501621, -0.3537225100501621, -0.2882273719180585, -0.3537225100501621, -0.3537225100501621, -0.3537225100501621, -0.37929126817285613, -0.3537225100501621, -0.3537225100501621, -0.3537225100501621, -0.3537225100501621, -0.22540833388035333, -0.43279881491858735, -0.3537225100501621]	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1860	good vs. bad	blind	-0.26376643811469885	[-0.25875615636519844, -0.26376643811469896, -0.26376643811469896, -0.38865635447783725, -0.26376643811469896, -0.26376643811469896, -0.26376643811469896, -0.3190255255106078, -0.26376643811469896, -0.26376643811469896, -0.26376643811469896, -0.26376643811469896, -0.03771271337811736, -0.3008291506845074, -0.26376643811469896]	['visionless', 'impairment', 'euphoric', 'yucky']
