table	categories	attribute(s)	effect_size	missing
vectors1800	good vs. bad	autistic	0.0	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1810	good vs. bad	autistic	0.0	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1820	good vs. bad	autistic	0.0	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1830	good vs. bad	autistic	-0.08400719676169337	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1840	good vs. bad	autistic	-0.13444334664482585	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1850	good vs. bad	autistic	-0.37031880162837	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1860	good vs. bad	autistic	-0.3856368560020759	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1870	good vs. bad	autistic	-0.3259318457276335	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1880	good vs. bad	autistic	-0.34973232294082807	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1890	good vs. bad	autistic	-0.5110499776286085	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1900	good vs. bad	autistic	-0.5274799462410976	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1910	good vs. bad	autistic	-0.36157895872537854	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1920	good vs. bad	autistic	-0.46468317736302334	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1930	good vs. bad	autistic	-0.26893348610267276	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
